,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1231,121,0,0,0,4,21,18,11,1,3,2,25,7,5,2,0,0,28,5,13,0,0,6,0,3,9,7,14,4,4,1,2,0,14,12,4,3,9,25,9,99,0,0,0,2,0,0,0,23
1,54,1356,0,1,0,2,11,0,5,0,0,3,8,10,0,0,0,0,14,5,17,0,0,2,0,0,0,2,6,0,0,3,1,0,0,3,2,0,11,48,8,32,0,0,0,2,0,4,0,28
2,1,0,1201,28,20,8,0,0,23,0,14,1,0,4,1,0,0,4,2,0,0,49,85,0,0,1,2,0,4,7,0,0,0,0,3,0,1,8,0,0,15,1,6,1,0,0,0,48,0,5
3,2,0,94,1219,16,13,15,1,6,0,3,2,3,0,1,1,0,9,3,0,0,52,29,0,0,0,0,3,10,6,0,0,0,1,0,1,0,2,5,5,21,3,4,1,0,0,0,29,0,3
4,1,0,26,13,1102,72,2,0,18,3,48,0,0,1,0,11,0,0,0,0,0,163,46,10,0,0,3,2,11,4,1,0,0,0,3,0,0,0,5,0,8,2,1,1,0,1,0,15,1,32
5,2,0,4,6,149,1238,2,0,82,3,29,0,3,1,0,7,0,0,0,2,1,10,12,6,0,0,1,0,1,0,0,0,0,0,1,0,0,0,14,2,13,3,0,0,0,0,0,12,0,59
6,16,13,1,2,8,19,1288,1,1,1,1,3,24,4,0,4,0,4,0,46,3,5,16,1,2,0,0,2,4,43,0,0,1,0,1,10,1,0,6,57,24,28,0,0,0,1,0,1,0,2
7,20,2,0,0,3,3,1,1509,19,22,1,0,1,3,3,8,0,1,1,0,12,0,1,3,1,0,6,0,4,7,3,0,0,4,2,0,1,2,3,0,6,10,3,1,1,2,4,31,0,58
8,2,1,11,3,12,7,1,18,1425,1,73,0,1,3,0,1,0,0,1,0,18,9,13,0,0,0,1,0,7,12,0,0,0,0,1,0,0,3,9,0,16,4,1,2,0,0,0,25,0,50
9,3,0,1,0,11,9,0,34,18,1412,18,0,0,0,0,27,0,1,5,0,6,8,4,6,2,0,18,0,11,2,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,1,34,29,1,76
10,0,0,5,5,23,6,1,1,38,4,1295,1,0,0,0,3,1,1,0,0,1,12,13,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,13,2,0,4,0,2,0,13,0,32
11,12,8,2,1,0,6,6,2,11,4,4,1235,6,36,3,4,4,5,38,57,24,0,2,3,0,8,8,3,9,17,6,2,35,34,3,7,2,53,6,27,15,34,1,7,1,6,1,8,0,3
12,11,14,1,0,1,1,30,3,1,1,0,0,884,24,19,1,0,1,2,6,6,0,0,3,1,7,0,325,3,13,0,3,1,0,1,5,12,0,4,39,16,49,0,0,0,2,0,19,0,28
13,15,14,0,0,0,0,1,14,4,1,2,4,15,1194,7,3,0,0,5,5,2,0,1,0,0,129,0,6,9,7,19,82,0,3,0,1,6,9,17,15,14,76,1,1,0,2,1,51,0,16
14,3,2,1,0,8,8,4,4,1,6,2,5,61,36,993,0,5,7,1,3,2,2,1,12,1,3,8,28,19,23,15,0,0,9,1,39,62,10,12,3,27,114,3,9,0,12,0,13,0,20
