,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,309,1162,0,1,1,12,7,1,10,0,0,0,0,0,20,0,0,1,1,1,6,2,0,0,0,2,15,0,1,5,0,0,2,0,0,1,4,0,55,127,0,0,0,0,0,0,0,0,0,1
1,109,1398,0,0,0,1,4,2,2,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,25,85,0,0,0,0,0,0,0,0,0,0
2,11,6,778,108,25,48,6,0,94,0,79,0,0,0,6,0,0,4,0,0,2,189,61,0,7,16,11,0,0,42,0,0,0,1,0,0,3,1,11,7,0,0,1,3,10,0,9,3,1,0
3,15,8,516,464,23,52,12,4,50,0,26,0,3,0,11,0,0,9,0,0,1,205,47,1,7,9,3,1,1,40,0,0,0,1,0,0,4,0,22,8,2,0,1,0,6,0,9,2,0,0
4,15,9,40,32,345,119,8,3,146,3,291,0,1,1,9,1,0,2,0,1,10,357,74,1,31,3,29,0,2,9,0,0,2,2,2,0,1,0,19,9,0,0,0,0,11,3,13,0,0,2
5,21,4,3,17,174,454,3,2,466,1,286,0,0,1,10,5,0,5,0,0,14,62,19,0,7,2,11,0,0,15,1,0,0,0,0,0,0,0,49,22,0,0,0,0,2,0,3,0,0,4
6,273,437,4,51,36,76,236,3,10,0,1,0,4,1,34,1,0,0,1,1,4,39,9,0,6,1,21,0,1,82,0,0,0,0,0,2,8,0,91,210,0,0,0,0,0,0,0,0,0,1
7,229,129,7,11,19,60,22,75,186,9,28,0,0,0,19,1,0,8,2,0,42,17,5,0,0,3,10,0,0,70,1,0,0,0,1,0,1,0,734,69,0,0,0,0,0,0,4,0,0,0
8,6,15,57,8,60,51,0,1,888,1,347,0,0,1,2,2,0,5,0,0,24,24,9,0,14,3,12,0,0,34,3,0,0,0,0,0,0,0,84,52,0,1,0,0,9,1,16,1,0,0
9,60,27,2,3,175,441,16,104,155,84,75,0,0,0,80,20,0,5,0,1,82,49,29,6,22,1,143,0,0,10,1,0,0,1,2,0,4,0,84,45,0,0,0,0,2,0,9,0,1,5
10,2,0,18,2,65,41,0,1,244,5,852,0,0,1,3,0,0,3,0,0,2,64,43,1,20,1,5,0,0,1,0,0,0,0,0,0,0,0,62,7,0,0,0,1,16,0,25,0,0,0
11,214,883,3,0,14,23,0,0,27,2,12,62,0,1,28,0,0,0,1,4,20,23,0,2,36,8,172,0,0,2,1,0,29,1,1,2,5,0,99,79,0,0,1,2,0,11,1,0,0,0
12,135,749,0,0,4,7,6,0,4,0,0,0,8,2,19,0,0,0,0,1,11,4,3,1,3,39,16,26,0,10,0,0,1,2,1,0,6,0,55,424,0,0,0,0,0,0,0,0,0,0
13,76,556,4,4,0,7,2,0,78,0,9,0,1,20,28,0,0,3,1,1,30,9,3,0,2,104,12,27,0,27,0,0,0,1,0,3,7,2,276,446,2,0,3,0,1,1,4,1,0,1
14,181,572,3,6,6,25,1,0,20,2,4,1,3,3,156,0,0,10,0,7,7,12,8,2,45,22,121,11,1,14,0,0,5,3,4,7,40,0,166,123,1,0,0,1,0,4,1,0,0,0
15,109,42,4,8,124,296,27,43,125,69,88,1,1,0,59,46,1,3,0,0,112,22,14,10,12,3,156,0,0,13,0,0,0,0,15,0,0,0,94,64,0,0,0,0,0,0,1,0,0,10
