,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,10,5,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,3,0,1,1,1,1,1,2,4,0,0,1,2,2,1,0,0,1,0,0,1,2
1,6,10,0,0,0,0,0,1,0,0,0,2,0,2,2,0,0,0,3,3,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,2,0,0,3,1,4,1,0,0,0,1,0,1,3
2,0,0,10,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,1,0,2,0,1,2,2,0,1,0,0,0,1,1,0,0,1,2,0,1,0,0,0,3,4,2,2
3,1,1,1,6,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,0,3,1,0,2,2,0,0,0,2,0,0,0,3,1,0,0,2,2,0,1,1,0,2,1,0,6,2,1,2
4,0,0,2,0,11,1,2,0,0,0,4,1,0,0,0,1,0,0,0,0,0,4,3,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,1,4,0,5,2
5,0,0,1,0,12,6,0,1,2,0,3,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,4,2,5,2
6,1,3,0,0,2,0,10,1,0,0,0,1,4,1,1,0,0,0,3,5,0,1,1,0,0,1,1,0,0,2,0,1,0,1,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,4
7,1,0,0,0,2,0,1,11,1,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,2,0,0,1,1,3,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,12
8,0,0,2,1,1,0,0,0,11,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,1,0,1,3,0,0,1,1,2,0,1,0,0,1,1,0,0,1,2,0,6,1,2,2
9,1,0,2,1,5,1,0,2,1,2,4,0,0,0,2,0,0,0,2,0,2,1,3,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,4,2,2,4
10,0,0,0,1,15,1,1,2,0,0,13,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,2,1,0
11,2,0,1,0,0,0,2,0,0,1,0,10,0,0,1,0,0,1,3,2,0,1,0,1,0,0,0,2,1,0,2,0,3,1,0,3,1,2,0,1,1,0,1,0,0,3,2,0,0,2
12,0,3,0,0,0,0,1,0,2,1,0,0,5,2,2,0,0,1,1,3,0,0,0,0,0,2,2,8,0,0,1,4,0,0,1,1,0,0,0,6,2,0,1,0,0,0,0,0,1,0
13,1,2,0,0,0,0,2,0,1,0,0,1,1,22,3,0,0,0,1,2,0,1,0,0,0,2,0,2,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1
14,0,2,0,0,0,0,0,0,1,0,0,0,3,2,4,1,1,1,4,1,1,0,0,0,0,1,1,2,1,0,3,2,0,1,0,0,1,2,2,0,2,2,1,1,0,0,1,0,1,5
15,1,0,1,3,6,4,0,2,0,2,4,0,0,0,0,6,1,1,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3
16,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,8,0,2,0,0,5,1,1,2,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,2,7,3,1,0,0,7
17,0,0,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,10,3,0,0,1,0,0,0,0,1,0,2,2,0,0,0,0,0,2,0,1,0,0,3,0,6,0,1,1,2,4,0,3
18,0,2,3,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,6,1,1,1,2,1,0,1,0,0,7,1,0,7,0,0,0,2,0,0,0,0,0,0,4,1,0,0,0,1,0,3
19,1,3,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,1,4,12,0,0,0,0,0,1,0,1,2,0,0,1,2,0,1,1,3,1,2,2,0,2,2,0,0,1,0,0,0,1
20,0,2,0,0,0,0,1,0,2,1,0,2,1,1,0,0,0,0,5,1,18,2,0,0,1,0,2,0,0,1,1,2,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,2
21,0,0,1,4,4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,18,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,3,0
22,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,6,4,4,1
23,2,0,0,0,1,0,0,1,1,0,0,1,1,1,2,0,1,2,3,1,0,0,0,8,2,2,1,1,1,0,0,0,1,0,7,1,0,0,2,1,0,0,0,1,0,1,0,0,1,3
24,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,1,1,0,0,6,1,0,10,1,0,0,2,0,0,3,0,2,0,0,0,1,1,0,0,0,4,1,2,2,1,1,0,5
25,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,5,5,0,1,19,0,0,0,3,0,3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,2
