,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,954,62,1,0,0,1,6,35,2,0,1,4,22,17,23,2,5,1,7,36,2,0,2,29,13,8,65,24,72,0,28,3,0,29,15,47,69,5,6,1,14,92,5,1,0,8,0,2,5,23
1,138,1031,0,0,0,0,7,2,3,1,0,5,18,14,15,0,3,0,2,21,6,0,0,12,4,9,9,20,78,1,2,7,11,24,0,24,50,6,7,8,9,54,0,0,2,6,1,1,1,26
2,8,6,902,24,10,2,0,8,4,0,4,10,2,5,3,0,6,18,1,6,1,34,24,8,4,9,18,2,15,4,2,2,1,7,3,3,2,3,5,2,36,3,152,10,8,19,28,38,32,49
3,10,2,299,582,11,0,5,2,3,0,3,11,3,3,4,1,13,3,0,5,2,35,30,20,9,13,17,6,37,1,3,3,3,19,8,5,6,8,10,1,107,18,79,30,11,17,16,20,20,49
4,8,1,43,15,772,56,1,9,6,1,23,3,0,6,1,12,19,0,0,0,1,207,42,18,8,6,2,0,24,1,5,1,1,6,5,0,2,1,16,0,42,11,24,12,14,9,20,6,32,114
5,9,0,30,9,450,413,0,17,20,5,23,1,0,6,4,3,11,3,1,2,1,82,21,28,14,5,2,3,29,1,1,1,1,4,10,2,2,0,34,1,49,13,22,23,5,14,18,20,25,225
6,23,13,3,1,4,1,818,13,3,0,0,13,51,4,4,0,2,3,1,262,0,4,16,3,6,5,2,26,38,91,4,9,2,16,2,11,9,3,19,21,66,28,5,0,0,4,4,8,2,21
7,9,0,1,0,2,0,0,1471,3,12,3,0,0,2,3,6,1,0,0,0,4,0,1,7,1,8,10,1,27,4,7,1,0,10,1,0,13,1,2,0,3,2,1,0,0,1,15,20,28,81
8,6,2,25,8,17,4,2,167,921,7,67,5,3,3,1,5,3,0,4,1,13,4,10,2,4,35,1,3,36,1,0,4,0,18,0,1,0,2,15,3,71,8,15,9,3,4,50,23,38,107
9,4,0,3,1,9,3,0,45,5,1353,8,0,0,1,3,14,9,0,1,0,1,6,1,5,6,5,15,0,12,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,65,7,21,135
10,2,1,8,6,26,5,0,10,33,17,1002,0,0,1,2,4,7,1,0,0,2,8,14,7,3,7,0,2,25,1,0,0,0,1,1,0,1,0,4,1,31,4,7,10,6,4,71,9,24,117
11,7,2,3,2,0,1,1,4,5,3,1,983,6,13,7,0,38,6,2,78,4,3,1,16,38,41,14,3,25,4,9,5,27,241,7,9,10,56,5,5,3,11,6,6,12,8,5,8,4,21
12,12,10,3,0,0,1,7,15,1,0,0,2,614,33,38,0,0,1,0,10,1,0,0,1,1,40,3,537,11,3,6,6,0,15,0,6,65,2,3,5,5,15,2,0,0,2,2,6,4,49
13,9,7,0,0,0,1,2,16,5,1,1,4,18,864,26,0,2,0,0,10,0,0,1,3,4,334,4,19,26,1,33,165,0,24,0,6,23,9,5,9,14,42,0,1,2,2,5,7,10,37
14,2,1,2,0,3,2,0,14,1,4,0,3,37,66,764,0,22,0,2,9,0,1,1,17,34,37,27,65,24,8,62,4,2,75,3,27,138,11,6,0,22,37,0,4,1,9,3,2,5,41
15,7,1,3,1,12,6,1,32,15,89,15,2,0,0,0,1051,6,3,2,0,4,7,17,28,6,4,7,1,20,2,1,0,0,1,25,0,0,0,0,1,3,0,2,3,6,0,66,6,9,107
16,0,0,0,1,1,0,0,1,0,1,0,0,1,1,3,1,1145,2,1,0,0,10,5,12,423,3,2,0,31,0,3,0,0,2,2,0,1,4,0,0,4,0,1,2,20,3,7,4,13,26
17,1,0,17,9,3,1,1,1,0,4,1,1,1,4,8,0,82,877,14,0,0,4,8,9,69,6,7,2,64,5,2,3,1,6,1,1,4,3,1,0,10,8,45,10,64,5,6,63,20,40
18,36,14,6,1,1,8,0,35,9,6,3,17,7,9,21,6,38,55,683,4,5,1,1,68,36,16,33,4,228,3,5,10,6,37,21,3,4,32,6,3,6,6,37,100,47,11,24,11,14,72
19,24,10,1,0,0,4,34,8,3,0,2,77,31,21,31,0,28,0,5,1092,3,0,1,9,18,22,2,18,70,3,44,5,4,59,3,36,32,15,23,18,47,55,4,1,3,14,3,6,0,36
20,13,3,1,0,2,1,2,62,22,16,0,23,13,14,0,4,20,0,5,4,1156,1,0,7,31,43,5,6,78,3,4,4,5,9,3,3,13,1,1,0,9,4,7,4,8,1,11,14,25,53
21,2,1,26,13,49,5,0,1,3,0,3,1,2,2,2,0,50,2,2,0,0,1203,75,7,19,7,0,2,22,0,0,0,0,6,0,1,2,0,8,1,68,3,26,11,23,5,12,15,72,97
22,3,3,25,6,28,4,1,9,3,2,6,8,2,12,3,6,33,1,1,0,1,121,1126,10,8,9,6,3,26,5,1,4,0,7,1,2,7,3,11,1,86,19,13,6,10,12,47,11,36,48
23,3,0,0,0,15,0,0,28,2,43,2,3,4,6,5,19,112,4,1,1,0,4,1,1071,134,10,68,1,43,1,1,2,3,11,102,1,5,3,2,0,1,2,3,10,19,0,10,4,9,125
24,0,0,0,0,0,0,0,4,4,2,1,2,0,4,0,6,395,1,0,0,0,21,1,22,1340,3,3,0,11,0,0,0,0,3,1,0,1,0,0,0,2,3,0,1,21,0,2,4,11,24
25,0,1,0,0,0,1,0,7,3,0,1,2,6,62,1,0,4,0,0,2,0,0,2,0,3,1483,0,6,5,1,33,23,0,17,0,0,1,1,5,5,6,7,0,4,2,2,10,2,8,23
26,17,12,2,0,10,1,3,60,3,61,3,11,6,6,5,11,26,2,6,0,0,1,4,205,53,8,1100,2,25,0,4,2,2,16,63,1,2,11,1,0,3,2,5,3,4,3,4,2,6,106
