,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,766,45,1,0,0,0,6,31,1,0,1,9,21,14,26,0,9,0,5,35,4,0,2,30,12,11,87,19,154,1,31,5,0,35,12,40,92,6,9,3,17,90,3,1,0,9,0,2,4,98
1,140,838,0,0,0,0,6,3,2,1,1,9,15,14,22,0,3,1,2,18,6,0,0,10,6,9,11,22,144,0,6,7,7,24,4,25,75,7,8,5,14,47,0,0,3,5,1,1,4,112
2,4,5,629,9,6,2,0,7,3,1,0,7,0,9,1,3,6,11,0,4,0,29,17,15,7,8,23,4,25,4,1,5,1,11,3,6,4,4,10,4,51,8,214,20,18,23,28,60,68,165
3,4,3,244,346,6,0,1,3,4,1,0,13,5,4,6,7,25,3,0,1,1,24,18,26,9,9,10,5,52,2,0,0,4,19,12,6,10,8,13,4,141,23,117,48,30,23,31,22,40,180
4,3,1,37,4,488,35,0,11,2,5,12,1,0,6,1,14,21,1,0,0,0,187,30,14,11,10,0,0,40,3,3,1,0,4,8,1,1,0,27,2,77,16,42,18,28,14,52,18,64,293
5,7,0,22,5,308,260,0,21,15,4,9,1,1,4,0,4,9,2,0,0,0,45,15,30,8,6,2,3,42,3,1,2,0,4,10,1,3,0,40,1,70,23,37,34,15,15,20,36,43,482
6,13,20,1,1,0,0,675,10,1,0,0,10,37,7,10,1,2,3,0,247,0,1,11,2,3,10,3,23,72,70,2,6,0,24,4,21,19,2,24,23,112,32,10,0,1,6,11,10,10,94
7,5,1,1,0,0,0,0,1357,2,9,1,0,0,2,2,3,0,0,1,0,4,0,0,3,5,9,10,0,42,2,4,1,0,12,1,0,9,2,3,1,2,0,2,0,0,0,14,27,40,185
8,2,2,11,7,3,2,0,210,622,3,33,1,1,1,1,5,1,1,0,1,11,1,3,7,5,31,0,5,30,2,0,12,0,25,1,0,2,1,16,5,86,6,25,17,5,4,93,27,82,322
9,0,1,1,0,3,2,0,45,10,1189,5,1,0,0,2,13,7,0,0,0,2,6,1,10,3,9,6,1,22,0,0,1,0,0,1,0,1,1,2,2,2,0,5,1,0,0,69,25,47,248
10,1,0,3,1,9,2,0,14,25,9,701,0,0,1,1,6,15,2,0,0,2,5,6,7,3,10,0,2,31,4,1,4,1,2,0,0,0,1,5,5,53,1,4,19,9,4,138,15,36,327
11,9,4,4,1,2,1,2,4,5,0,0,769,5,15,12,2,43,2,11,62,3,8,2,17,54,61,13,2,40,6,12,2,32,320,9,7,14,53,12,4,7,5,7,5,18,9,8,12,10,64
12,9,5,1,0,0,1,7,16,2,1,0,1,570,39,27,1,2,1,0,9,1,0,0,1,2,45,0,446,19,3,6,10,1,17,0,4,69,2,4,5,16,16,2,0,0,3,2,8,13,150
13,10,4,0,0,0,0,1,12,6,2,2,2,13,746,25,2,4,0,0,8,1,1,1,2,4,343,1,12,33,0,30,180,0,18,0,6,19,5,6,8,12,30,1,2,3,0,10,7,24,156
