,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,830,220,2,2,3,12,39,25,10,0,3,17,13,6,13,4,0,3,15,17,11,1,5,24,5,3,41,12,2,1,3,3,6,4,35,10,20,1,12,239,11,45,4,1,0,0,0,0,0,14
1,184,869,0,3,0,2,10,10,4,1,2,11,9,6,6,4,0,1,16,16,13,3,8,3,3,1,21,3,1,0,0,5,7,0,4,11,7,0,12,343,6,26,1,0,1,0,0,0,0,5
2,1,2,861,135,21,26,4,5,50,1,42,1,1,6,2,3,4,16,1,2,0,69,118,0,1,4,3,2,2,37,0,1,0,2,0,0,3,32,10,15,6,1,12,6,4,12,2,11,0,6
3,4,1,178,999,21,39,19,4,22,0,27,1,7,2,3,2,0,10,0,4,1,58,38,3,0,3,2,3,7,31,1,0,0,6,1,1,3,9,8,15,2,3,6,3,1,1,0,10,0,4
4,1,0,29,56,538,145,3,7,72,6,263,2,0,4,2,28,5,3,1,1,4,180,115,8,10,4,16,1,2,6,3,0,1,1,5,0,3,0,11,14,3,1,5,8,1,3,4,8,7,16
5,2,0,13,32,133,801,3,26,279,11,163,0,5,2,0,25,2,3,2,2,10,24,32,6,2,0,2,0,0,3,3,0,3,2,3,1,2,0,15,8,10,1,1,1,0,1,2,4,1,22
6,73,46,3,19,17,54,780,1,4,0,2,1,22,2,13,7,0,12,1,19,2,32,35,4,4,0,2,16,6,71,0,0,3,2,7,14,3,0,10,326,10,12,1,0,0,1,0,0,0,7
7,53,14,1,4,13,40,1,1105,45,33,11,1,7,14,8,15,0,1,4,1,53,5,5,10,16,6,9,11,6,17,4,2,1,11,3,3,17,24,82,24,3,15,5,1,1,0,13,10,3,31
8,5,0,31,13,19,52,1,47,1111,2,196,2,3,3,2,11,3,4,0,4,45,7,25,6,14,3,1,0,4,12,0,0,1,0,1,0,0,11,14,20,14,3,3,9,2,7,4,3,5,8
9,45,9,2,5,50,56,2,110,31,864,38,3,3,5,6,64,13,0,2,0,58,43,49,23,36,4,42,1,4,6,2,4,0,1,1,0,2,0,4,5,3,4,1,3,4,0,53,2,3,78
10,1,0,9,10,44,31,1,2,66,7,1109,0,1,2,0,19,6,0,0,0,10,19,58,2,12,3,1,1,2,3,4,0,0,0,0,2,1,5,6,12,2,4,1,5,6,4,3,1,2,8
11,70,51,13,3,2,6,5,2,11,1,22,756,4,40,9,3,5,4,37,59,35,9,6,17,4,17,75,2,3,2,6,9,98,12,39,18,11,30,11,194,14,8,6,11,3,12,0,4,0,10
12,65,51,1,0,3,7,46,8,3,0,1,1,403,23,30,2,1,2,4,4,9,10,2,21,1,29,12,245,3,5,0,1,1,10,11,5,9,3,11,420,24,17,4,3,0,2,1,5,0,18
13,68,78,3,0,0,0,6,17,18,2,5,1,61,549,39,3,3,2,18,9,11,6,3,15,1,198,33,129,9,4,5,74,3,12,14,8,31,17,32,139,17,54,6,5,0,2,7,15,0,20
14,23,14,0,7,9,12,15,19,1,6,2,1,80,54,518,1,12,6,5,21,5,7,12,78,20,12,32,99,4,13,3,7,4,14,14,66,87,10,31,123,46,46,13,7,2,13,1,5,1,17
15,41,9,4,21,70,93,13,58,90,110,109,4,1,19,2,603,6,3,1,2,51,12,27,21,5,14,27,2,0,5,2,3,3,2,42,3,1,5,7,32,2,1,5,5,0,1,9,3,0,23
16,1,0,12,31,26,25,12,7,7,2,12,7,7,2,54,3,539,46,1,2,9,88,140,29,331,2,11,5,13,22,4,1,9,3,12,29,18,5,56,38,7,16,10,6,16,47,1,3,2,7
17,1,1,155,144,11,15,32,4,9,0,6,1,13,6,49,1,20,553,18,0,1,37,54,5,9,2,4,9,23,67,1,0,3,1,1,6,15,5,8,66,23,11,45,10,11,16,2,9,0,9
18,119,45,51,30,14,12,20,23,19,4,15,89,5,14,32,4,3,43,476,7,36,82,7,13,16,19,80,5,24,22,5,32,48,13,16,9,11,22,20,140,19,15,20,76,8,14,2,0,0,10
19,74,53,1,11,9,59,62,13,18,1,15,39,37,23,26,9,4,2,15,577,15,3,12,14,8,9,3,14,6,2,9,1,20,13,15,75,27,4,76,420,19,81,3,1,0,1,1,1,0,24
20,41,50,0,3,1,12,10,37,86,10,24,36,1,14,1,15,1,3,0,7,1144,4,1,8,8,3,7,8,2,1,1,1,56,1,8,0,4,6,15,25,6,7,8,3,1,2,0,1,0,31
21,1,0,88,58,178,44,1,7,15,4,46,0,0,7,1,6,2,4,3,0,0,1052,167,7,12,6,12,2,5,6,1,0,0,5,3,1,2,3,11,8,1,0,4,11,4,9,11,12,17,12
22,1,5,45,78,78,24,19,7,13,10,103,1,2,1,9,17,9,2,5,6,5,127,1036,2,10,4,17,5,10,19,2,1,1,0,2,1,7,12,17,22,5,5,2,9,3,9,6,6,5,11
23,125,11,3,9,48,69,32,20,37,20,22,6,16,8,87,20,41,4,9,8,29,24,7,529,88,6,104,34,5,3,9,1,25,3,85,33,63,10,30,44,15,49,25,5,0,7,3,6,2,55
24,2,0,2,23,41,55,7,4,9,3,11,5,0,1,43,0,144,14,1,4,6,110,72,82,1049,1,7,5,3,5,0,0,11,3,8,17,15,2,18,6,2,17,10,9,17,25,1,1,5,17
25,20,23,3,5,0,2,6,8,52,0,3,6,34,59,28,3,16,3,5,12,27,30,28,14,33,900,41,48,8,24,7,26,1,4,6,2,6,8,46,114,4,4,10,9,3,2,7,21,2,16
26,157,50,10,3,33,46,10,21,30,27,12,11,2,28,23,47,3,1,8,2,24,15,19,45,23,6,928,2,5,3,3,1,20,3,73,3,9,5,8,69,14,10,7,12,2,5,1,1,2,41
27,52,30,3,1,1,12,45,17,2,1,1,0,206,96,39,1,4,5,2,12,9,7,2,59,11,46,18,754,4,14,1,4,12,9,15,20,77,2,14,184,21,31,8,4,1,2,0,4,1,40
28,15,15,41,60,3,7,22,4,4,0,3,2,10,4,85,0,32,230,131,6,3,43,29,9,54,4,4,14,450,51,3,16,5,7,1,49,19,3,83,165,23,8,8,16,29,27,0,1,0,7
