,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,741,344,1,0,0,0,20,64,4,0,2,1,25,18,2,0,1,4,22,31,23,1,2,6,1,9,30,16,166,1,1,6,0,4,25,26,10,8,2,19,17,48,3,1,0,3,1,0,0,38
1,37,1288,0,1,0,0,9,8,2,0,0,0,11,23,0,0,0,0,7,9,38,0,1,1,0,2,1,2,68,0,0,5,3,1,1,12,4,0,3,31,9,24,0,0,0,0,0,0,0,37
2,0,0,936,31,1,0,2,0,9,0,13,0,0,2,0,0,1,23,4,0,1,53,155,0,0,5,0,0,18,2,0,0,0,0,1,1,0,4,2,2,21,0,5,11,4,3,43,87,58,45
3,0,0,305,682,4,2,7,0,5,0,4,0,0,2,0,0,0,23,6,1,0,72,99,0,1,10,1,4,51,4,0,0,0,0,2,0,1,2,2,1,30,0,3,5,1,0,35,93,75,30
4,0,1,22,19,405,5,5,1,24,0,308,0,0,3,0,2,5,3,0,0,1,273,193,2,6,4,3,0,53,1,0,1,0,0,0,0,0,0,3,1,26,0,0,7,3,3,65,34,79,45
5,2,6,23,19,204,386,4,5,195,0,258,0,1,8,0,4,0,3,1,1,5,94,101,0,3,11,0,1,19,3,1,1,1,0,0,0,0,1,15,0,24,0,3,5,0,3,66,29,56,101
6,10,84,11,5,3,1,867,9,7,0,2,0,62,10,2,2,3,10,2,107,9,52,70,0,6,3,1,25,57,56,1,0,8,2,3,13,4,2,2,49,32,14,0,1,0,10,1,4,3,19
7,22,13,5,0,3,0,3,1198,27,6,5,0,4,4,1,5,0,2,8,0,43,3,2,1,11,5,11,0,168,13,0,0,5,10,0,2,6,7,3,0,3,1,5,0,0,2,42,34,12,67
8,2,6,68,5,8,2,0,12,921,0,107,1,1,4,0,1,1,2,1,1,58,25,34,0,4,4,1,2,68,21,0,0,4,0,1,0,1,5,1,0,35,1,0,17,11,4,115,26,40,110
9,3,13,1,2,37,9,0,154,22,665,74,0,0,1,0,54,21,1,5,0,69,24,34,7,23,1,19,0,68,0,0,0,0,0,1,0,0,0,1,0,2,0,0,4,4,2,284,16,28,95
10,0,2,2,1,12,1,1,2,43,0,953,0,1,0,0,2,0,0,0,2,8,21,97,0,2,3,0,2,25,1,0,1,2,0,0,0,0,5,1,1,9,1,0,10,7,4,159,13,41,50
11,2,24,1,0,2,1,3,7,8,0,2,722,8,29,0,2,2,3,10,232,71,1,4,4,14,37,19,13,52,5,4,3,104,47,13,15,7,88,7,68,15,5,10,28,3,14,4,2,0,54
12,10,33,0,0,2,2,52,21,3,0,0,0,683,48,8,0,1,3,3,16,4,1,5,1,0,46,1,391,13,12,0,8,1,3,0,4,20,1,3,50,25,4,0,2,0,4,2,4,0,47
13,8,26,0,0,0,0,12,31,3,0,0,0,58,752,12,0,0,0,8,20,3,0,0,0,0,250,3,39,77,6,4,135,2,13,1,13,20,19,11,26,22,43,1,8,2,6,10,9,0,99
14,6,10,4,0,6,2,7,21,6,1,1,1,94,66,432,2,19,14,2,34,1,4,11,11,36,45,28,146,120,20,10,8,1,9,6,50,71,23,16,14,48,17,9,28,1,25,8,21,10,73
15,16,14,4,5,49,15,4,51,85,19,202,0,0,1,0,664,6,3,7,1,97,18,63,10,9,13,7,0,29,2,0,3,1,0,24,0,0,0,0,1,0,2,3,0,1,1,84,3,6,49
16,0,1,0,2,17,4,0,1,2,3,19,0,3,2,1,0,882,6,2,0,0,51,92,4,233,8,1,10,89,2,0,4,1,0,2,5,4,17,16,1,12,2,0,29,54,22,31,7,25,69
17,0,2,130,26,6,3,4,0,0,0,0,0,8,14,5,0,12,655,34,0,0,13,79,0,15,13,2,9,132,19,1,3,2,0,0,1,1,6,4,4,18,1,43,38,22,3,18,92,7,47
18,68,89,12,4,0,0,6,24,10,0,5,22,17,14,0,0,4,42,615,1,54,17,7,8,3,42,20,5,251,2,0,19,48,4,18,0,2,19,0,12,11,9,15,126,8,20,42,32,8,74
19,8,44,4,1,1,2,23,41,20,0,5,30,16,46,3,0,0,1,7,976,15,3,16,2,4,26,0,16,117,2,12,3,13,8,2,30,8,14,49,129,69,45,1,1,0,19,0,11,1,81
20,7,18,4,2,1,0,3,23,32,0,3,9,0,3,0,2,4,5,3,2,1309,7,4,6,10,7,3,5,98,3,0,1,71,1,2,0,2,3,1,0,2,4,4,8,1,1,11,4,1,24
21,0,0,15,30,12,0,0,0,2,0,17,0,2,1,0,0,0,1,1,0,0,1189,185,0,4,2,0,1,49,0,0,0,0,0,0,3,0,1,3,0,10,0,2,6,4,1,42,50,153,63
22,0,1,14,10,3,0,15,0,3,0,58,0,1,5,0,0,3,0,0,0,2,150,1120,0,2,5,2,7,55,5,0,0,1,0,1,0,2,4,4,1,25,0,0,8,6,3,108,40,64,68
23,36,27,3,2,25,7,7,27,21,23,28,1,18,11,3,52,64,10,10,0,26,10,7,648,145,36,99,15,57,2,0,7,6,1,156,7,8,11,3,3,7,17,7,25,12,5,17,11,6,165
24,1,0,1,1,19,2,0,3,1,3,18,0,1,0,0,3,219,5,0,0,0,70,42,12,1117,4,3,3,68,0,0,1,3,0,4,2,0,7,2,0,7,3,1,36,48,11,16,10,56,90
25,0,10,0,0,0,1,5,3,6,0,3,0,4,38,0,0,0,0,4,2,0,4,3,1,0,1411,0,4,17,6,5,20,0,4,0,0,1,1,35,10,10,0,3,6,6,0,14,14,13,75
26,43,58,2,1,22,3,10,53,28,16,43,3,12,12,0,35,20,3,9,0,26,8,24,47,41,25,983,3,33,0,1,10,7,1,61,1,2,29,0,4,3,2,1,34,1,19,4,5,3,132
27,4,16,2,0,1,2,28,17,2,0,3,1,128,48,11,0,1,2,2,16,2,2,6,1,6,70,4,1170,36,19,0,8,3,10,3,23,70,7,7,32,29,10,7,5,0,11,0,12,1,66
28,3,7,15,8,2,0,1,5,0,0,0,0,1,4,4,0,3,69,53,0,1,2,8,1,5,33,0,11,1226,28,3,88,1,7,0,6,1,1,12,4,19,5,10,22,26,1,9,32,3,65
29,0,8,70,12,10,5,133,6,24,0,35,1,26,13,3,0,0,15,4,3,4,34,205,0,2,30,7,26,51,702,0,18,1,21,1,2,4,4,5,12,35,2,5,11,0,1,50,53,31,35
30,1,0,2,0,2,1,2,24,13,0,8,1,0,12,2,0,4,4,2,5,0,2,2,1,5,244,0,5,130,13,735,4,1,31,0,24,16,27,255,17,52,3,13,7,11,22,0,26,13,67
31,18,55,1,0,0,0,8,18,1,0,0,0,42,89,0,1,0,0,32,9,3,0,0,0,0,341,8,25,48,1,6,860,4,36,0,5,9,2,9,37,7,6,0,9,0,4,0,7,0,30
32,3,14,0,0,1,4,12,8,14,0,9,57,5,25,2,3,5,7,3,48,43,4,6,13,37,5,18,25,54,7,0,2,978,5,14,15,56,17,21,18,46,24,7,30,5,23,2,3,0,44
33,0,3,9,0,7,9,3,29,13,5,8,1,2,2,3,1,11,8,3,37,1,5,3,1,21,55,16,12,123,40,28,1,1,954,7,6,47,37,11,13,53,2,36,18,3,17,14,31,6,57
34,42,34,4,1,23,6,10,20,24,11,29,2,13,8,1,60,17,13,10,1,40,12,6,220,51,27,177,14,53,2,0,15,5,2,476,1,3,35,0,7,6,5,11,28,10,11,19,7,0,73
35,2,10,4,0,0,1,8,14,8,0,2,2,36,86,44,0,4,5,0,29,1,0,5,1,12,29,1,132,118,7,54,7,9,6,1,425,127,33,95,80,84,92,10,0,1,37,3,10,2,98
36,0,6,7,0,4,3,1,23,7,0,3,0,4,11,54,0,18,23,10,22,3,5,6,5,79,18,17,93,135,22,17,5,6,31,3,24,728,13,16,17,186,19,21,9,3,29,9,18,2,85
37,0,0,2,0,1,1,0,2,2,0,6,7,2,6,1,0,2,1,40,10,2,17,10,1,10,36,2,5,96,3,3,1,57,71,0,1,0,711,10,5,11,0,5,92,81,223,121,22,45,100
38,5,15,1,0,1,2,0,57,6,0,1,3,12,41,0,0,0,0,4,30,9,0,0,0,10,103,1,7,93,1,72,2,14,3,0,22,11,4,998,25,16,19,0,2,1,7,1,10,2,62
39,1,105,0,0,0,0,7,6,2,0,1,4,29,41,0,0,0,0,16,104,5,1,2,0,0,73,1,13,54,2,6,13,11,6,1,36,9,2,38,898,16,10,1,0,0,0,1,3,0,21
40,3,8,10,1,6,9,12,21,12,2,10,0,6,12,27,1,32,33,24,16,6,7,8,5,51,21,19,54,211,41,18,7,63,42,2,20,233,25,27,29,443,24,19,24,5,38,2,9,0,78
41,7,25,3,0,0,0,5,11,3,0,1,1,45,120,59,0,1,6,10,35,2,0,1,4,9,26,5,86,193,4,18,11,19,10,2,137,100,19,24,32,62,341,10,3,0,9,3,14,0,140
42,0,0,42,0,3,0,4,0,3,0,3,0,3,0,2,0,7,174,20,0,0,5,11,0,7,15,0,29,108,11,3,0,0,4,2,5,9,36,8,0,13,1,836,25,16,17,15,263,35,76
43,7,6,9,0,0,1,1,0,0,0,2,0,3,0,0,1,0,2,92,1,2,47,16,10,4,11,10,3,31,2,0,5,27,0,5,0,1,15,3,0,3,1,0,955,103,17,67,23,32,107
44,1,0,4,1,0,0,0,0,1,0,2,0,1,0,0,1,3,11,31,0,0,40,18,1,48,2,0,0,88,0,0,0,18,0,0,0,0,7,2,0,13,0,1,111,1044,15,78,34,75,100
45,0,1,1,0,0,0,1,2,1,0,6,1,1,4,0,0,7,4,26,18,2,28,22,0,20,46,2,11,84,1,1,2,36,8,0,6,20,100,11,10,34,1,2,100,150,844,53,24,28,165
46,0,0,1,0,0,0,6,3,1,4,0,0,6,0,0,0,1,1,13,0,0,11,11,0,1,1,0,1,30,1,0,0,0,0,0,0,0,4,0,0,0,1,2,7,0,0,1490,107,25,76
47,0,1,13,0,1,0,4,0,1,0,0,1,10,1,0,0,0,3,19,1,0,2,2,0,0,11,2,5,11,2,0,1,1,0,0,0,1,0,0,0,2,0,8,23,1,2,159,1289,52,93
48,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,41,28,1737,43
49,4,4,0,0,14,2,2,31,25,5,8,0,2,1,0,10,0,0,0,0,21,2,2,3,2,2,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,18,1617
